trope,count,movies_with_trope,avg_rating
2-D Space,6,"['ANewHope', 'ReturnoftheJedi', 'Gravity', 'GuardiansoftheGalaxyVol2', 'StarWarsTheLastJedi', 'StarTrekVITheUndiscoveredCountry']",3.58
Abandon Ship,5,"['ANewHope', 'Dunkirk', 'StarWarsTheLastJedi', 'StarshipTroopers', 'StarTrekIVTheVoyageHome']",3.90
Absurdly Sharp Blade,11,"['ANewHope', 'ExMachina', 'KillBill', 'PacificRim', 'CaptainAmericaTheWinterSoldier', 'KingsmanTheSecretService', 'Moana', 'Machete', 'TheLegoMovie', 'Us', 'ToyStory2']",3.64
Ace Custom,3,"['ANewHope', 'JohnWickChapter2', 'StarWarsTheLastJedi']",4.00
Achilles' Heel,5,"['ANewHope', 'TheHobbitTheDesolationofSmaug', 'StarWarsTheLastJedi', 'IndependenceDay', 'WhoFramedRogerRabbit']",3.70
Achilles in His Tent,8,"['ANewHope', 'TheEmpireStrikesBack', 'AvengersAgeofUltron', 'StarWarsTheForceAwakens', 'TheDarkKnightRises', 'StarWarsTheLastJedi', 'ThisIsSpinalTap', 'TheRoadtoElDorado']",3.62
"Action Film, Quiet Drama Scene",38,"['ANewHope', 'TheEmpireStrikesBack', 'ReturnoftheJedi', 'TheHungerGamesMockingjayPart2', 'AvengersAgeofUltron', 'PacificRim', 'IronMan3', 'EdgeofTomorrow', 'StarWarsTheForceAwakens', 'TheDarkKnightRises', 'CaptainAmericaCivilWar', 'Warcraft', 'TheBourneIdentity', 'TheBourneSupremacy', 'RogueOneAStarWarsStory', 'HacksawRidge', 'GuardiansoftheGalaxyVol2', 'Aliens', 'Alien3', 'WarforthePlanetoftheApes', 'AlienCovenant', 'ThorRagnarok', 'LiveFreeorDieHard', 'InglouriousBasterds', 'ZeroDarkThirty', 'TheLordoftheRingsTheTwoTowers', 'TheLordoftheRingsTheReturnoftheKing', 'NineteenSeventeen', 'TheGoodtheBadandtheUgly', 'TheLegoMovie', 'SpiderManHomecoming', 'TheHost', 'InBruges', 'JohnWickChapter4', 'StarTrekVITheUndiscoveredCountry', 'TheLordoftheRingsTheFellowshipoftheRing', 'EverythingEverywhereAllatOnce', 'Glory']",3.34
Action Prologue,25,"['ANewHope', 'Sicario', 'KillBill', 'AvengersAgeofUltron', 'PacificRim', 'KingsmanTheSecretService', 'CaptainAmericaCivilWar', 'Inception', 'TheHobbitAnUnexpectedJourney', 'JohnWickChapter2', 'GuardiansoftheGalaxyVol2', 'Dunkirk', 'StarWarsTheLastJedi', 'StarshipTroopers', 'Valkyrie', 'Deadpool2', 'TheAbyss', 'ThePhantomMenace', 'JohnWickChapter3Parabellum', 'AdAstra', 'TheLordoftheRingsTheTwoTowers', 'Tenet', 'RaidersoftheLostArk', 'TheIronGiant', 'Glory']",3.42
Activation Sequence,8,"['ANewHope', 'PacificRim', 'RogueOneAStarWarsStory', 'AssassinsCreed', 'Aliens', 'IndependenceDay', 'SpiderManIntotheSpiderVerse', 'StarTrekTheMotionPicture']",3.62
"Actually, I Am Him",3,"['ANewHope', 'TheEmpireStrikesBack', 'ThePhantomMenace']",3.17
